的	de5	PRT:of
是	shi4	VERB:is
在	zai4	PREP:at
了	le5	PRT:did
和	he2	CONJ:and
一	yi1	NUM:1
有	you3	VERB:have
年	nian2	NOUN:year
不	bu4	ADV:not
人	ren2	NOUN:person
中	zhong1	PRT:middle
对	dui4	PREP:for
种	zhong3	NOUN:kind/type
他	ta1	PRON:he
这	zhe4	ADJ:this
经济	jing1ji4	NOUN:economy
第	di4	PRT:nth
社会	she4hui4	NOUN:society
我	wo3	PRON:I
上	shang4	PRT:up
也	ye3	ADV:also
月	yue4	NOUN:moon
到	dao4	VERB:arrive
十	shi2	NUM:10
我们	wo3men5	PRON:we
中国	Zhong1guo2	NOUN:China
企业	qi3ye4	NOUN:enterprise
个	ge5	MEAS:(gen.)
说	shuo1	VERB:talk
工作	gong1zuo4	NOUN:work
主义	zhu3yi4	NOUN:-ism
为	wei4	#2:PREP:for
发展	fa1zhan3	NOUN:development
要	yao4	VERB:want
都	dou1	ADV:all
就	jiu4	ADV:precisely
之	zhi1	#2:PRT:of
国家	guo2jia1	NOUN:country
与	yu3	#2:CONJ:and
问题	wen4ti2	NOUN:question/problem
但	dan4	ADV:but
二	er4	NUM:2
日	ri4	NOUN:sun
三	san1	NUM:3
其	qi2	PRON:its
地	#2:de5	PRT:-ly
他们	ta1men5	PRON:they
从	cong2	PREP:from
可以	ke3yi3	VERB:can
还	hai2	ADV:still
人民	ren2min2	NOUN:the-people
研究	yan2jiu1	NOUN:research
进行	jin4xing2	VERB:progress
各	ge4	ADJ:each
管理	guan3li3	NOUN:management
者	zhe3	NOUN:-er/-ist
所	suo3	PRT:place
而	er2	ADV:and-yet
于	yu2	PREP:by
方面	fang1mian4	NOUN:aspect
自己	zi4ji3	PRON:oneself
会	hui4	VERB:is-able
性	xing4	NOUN:disposition
等	deng3	PRT:etc.
以	yi3	PREP:using
政府	zheng4fu3	NOUN:government
大	da4	ADJ:big
着	zhe5	PRT:-ing
两	liang3	NUM:pair
时	#2:shi2	PRT:time
它	#2:ta1	PRON:it
技术	ji4shu4	NOUN:technology
来	lai2	VERB:come
生产	sheng1chan3	NOUN:manufacture
